s,type,g
http://dbpedia.org/resource/AMF_Bowling_Pinbusters!,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Matt_Holmes_(soccer)__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Small_Revelations,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Joice_Sorongan,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Microschismus_fortis,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Seiser_Alm,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Cheats_(film),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Letters_(song),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Antonín_Buček__7,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Julie_Wagner,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Ngaruroro_River,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Baby_Show,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Gustaf_Lyman,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://www.wikidata.org/entity/Q33357,http://www.w3.org/2002/07/owl#Class,http://www.wikidata.org
http://dbpedia.org/resource/Eran_Riklis__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Janek_Kiisman,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Charles_Gowan,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Phillip's_Field,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/Sam_Turner_(footballer,_born_1980)__3",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Holm_Pinder__6,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/The_Ultimate_Merger,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Grand_Duke_George_Mikhailovich_of_Russia_(1863–1919),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Bessarakpenbe,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Erik_Ustruck__5,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Siennica_Królewska_Mała,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/1951–52_Colchester_United_F.C._season__Ron_Hunt__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-gooseflesh_NN_1,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Sabit_Brokaj__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Schwasdorf,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Mwayi_Kumwenda,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
#WN30WordSense-accredit_VB_3,http://www.w3.org/2002/07/owl#Thing,http://www.ontologyportal.org/WordNet#
http://dbpedia.org/resource/Saichiro_Misumi__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
"http://dbpedia.org/resource/John_Thomson_(footballer,_born_1909)__3",http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Cumpurdinus,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Linda_Runbeck__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Leandro_Chaves__4,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Zinc_phosphate,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Chris_Isaak_discography,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/John_Raphael_Smith__1,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Countess_of_Tripoli,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Malibu_(film),http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Michael_Nelson_(footballer)__10,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
http://dbpedia.org/resource/Jarah_Al_Ateeqi__2,http://www.w3.org/2002/07/owl#Thing,http://dbpedia.org
